busstop,route_no
kuppa reddy kere,214A
kuppasiddana doddi,366X
kuppemala kuppemala in front of gajendra store,258VF
kuppemala kuppemala in front of revanna siddeshwara hotel,258VG
kuppemala kuppemala in front of revanna siddeshwara hotel,258VD
kurabarahalli kurubarahalli,317K
kurubara karenahalli bannikuppe in front of hanumantharaya temple,231A
kurubara karenahalli bannikuppe in front of hanumantharaya temple,231B
kurubara karenahalli bannikuppe in front of hanumantharaya temple,231K
kurubara palya chandrappa circle near water tank,377A
kurubara palya opposite of water tank,242MA
kurubarahalli cross kurubarahalli cross beside open area,266
kurubarahalli cross kurubarahalli cross beside open area,266C
kurubarahalli cross kurubarahalli cross beside open area,266K
kurubarahalli cross kurubarahalli cross beside open area,266E
kurubarahalli cross kurubarahalli cross beside open area,266G
kurubarahalli cross kurubarahalli cross beside open area,266B
kurubarahalli cross kurubarahalli cross beside open area,407C
kurubarahalli cross kurubarahalli cross beside sri renuka yellamma devi store,407
kurubarahalli cross kurubarahalli cross beside sri renuka yellamma devi store,407B
kurubarahalli doddakurubara halli opposite of govt. higher primary school,298PA
kurubarahalli doddakurubara halli opposite of govt. higher primary school,298PB
kurubarahalli jc nagara j.c.nagara  kurubarahalli beside life care pharmacy,89D
kurubarahalli kurubarahalli in front of canara bank,89A
kurubarahalli kurubarahalli in front of canara bank,89E
kurubarahalli kurubarahalli in front of canara bank,89H
kurubarahalli kurubarahalli in front of canara bank,89
kurubarahalli kurubarahalli in front of canara bank,169
kurubarahalli kurubarahalli in front of canara bank,79K
kurubarahalli kurubarahalli in front of canara bank,89C
kurubarahalli kurubarahalli in front of canara bank,89D
kurubarahalli kurubarahalli in front of canara bank,TR-8
kurubarapalya cross chandrappa circle in front of water tank,227H
kurubarapalya cross chandrappa circle in front of water tank,227P
kurubarapalya cross chandrappa circle opposite of water tank,242MA
kurubarapalya in front of water tank,227H
kurudu sonnenahalli,307B
kuvempu circle,MP-501A
kuvempu circle,501L
kuvempu circle,502E
kuvempu circle jalahalli beside a.g.n.electricals,500
kuvempu circle jalahalli beside a.g.n.electricals,501
kuvempu circle jalahalli beside a.g.n.electricals,600
kuvempu circle jalahalli beside a.g.n.electricals,401RD
kuvempu circle jalahalli beside a.g.n.electricals,501A
kuvempu circle jalahalli beside a.g.n.electricals,501C
kuvempu circle jalahalli beside a.g.n.electricals,507
kuvempu circle jalahalli beside a.g.n.electricals,500QK
kuvempu circle jalahalli beside a.g.n.electricals,502A
kuvempu circle jalahalli beside a.g.n.electricals,502D
kuvempu circle jalahalli beside a.g.n.electricals,500Q
kuvempu circle jalahalli beside open area,401RC
kuvempu circle jalahalli beside open area,500G
kuvempu circle jalahalli beside open area,501B
kuvempu circle jalahalli beside open area,MBS-9
kuvempu circle jalahalli beside open area,MBS-17
kuvempu circle jalahalli beside open area,276
kuvempu circle jalahalli beside open area,276K
kuvempu circle jalahalli beside open area,276P
kuvempu circle jalahalli beside open area,276E
kuvempu circle jalahalli beside open area,276B
kuvempu circle jalahalli beside open area,503
kuvempu circle jalahalli beside open area,500B
kuvempu nagara 1st stage kuvempu nagara 1st stage beside open area,266F
kuvempu nagara 1st stage kuvempu nagara 1st stage beside open area,268
kuvempu nagara 2nd stage kuvempu nagara 2nd stage beside suguna chicken center,266F
kuvempu nagara 2nd stage kuvempu nagara 2nd stage beside suguna chicken center,268
kwality bicuits nayandahalli maruthi pre-owned cars,410A
kwality bicuits nayandahalli maruthi pre-owned cars,227CA
kwality bicuits nayandahalli maruthi pre-owned cars,401RE
kyalasanahalli,294D
kyalasanahalli hulimangala post & jigani hubli in front of veena provision store,355E
kyalasanahalli hulimangala post & jigani hubli in front of veena provision store,345E
kyalasanahalli hulimangala post & jigani hubli in front of veena provision store,346F
kyalasanahalli hulimangala post & jigani hubli opposite of veena provision store,362K
kyalasanahalli kyalasanahalli beside prakash store,BC-9B
kyalasanahalli kyalasanahalli beside prakash store,294E
kyalasanahalli kyalasanahalli beside prakash store,294F
kyalasanahalli kyalasanahalli beside prakash store,295A
kyalasanahalli kyalasanahalli beside prakash store,295E
kyalasanahalli kyalasanahalli beside prakash store,294
kyalasanahalli kyalasanahalli beside prakash store,295C
kyalasanahalli kyalasanahalli beside prakash store,280F
kyasaraguppe,398B
kyasaraguppe,371A
kyasaraguppe kasarguppe opposite of ashapura mataji mandir,371D
ladies hostel university campus bangalore university in front of bangalore university hospital,223H
ladies hostel university campus bangalore university in front of bangalore university hospital,223A
ladies hostel university campus bangalore university in front of bangalore university hospital,223G
ladies hostel university campus bangalore university in front of bangalore university hospital,234A
ladies hostel university campus bangalore university in front of bangalore university hospital,235C
ladies hostel university campus bangalore university in front of bangalore university hospital,235AB
ladies hostel university campus bangalore university in front of bangalore university hospital,223L
ladies hostel university campus bangalore university in front of bangalore university hospital,223E
ladies hostel university campus bangalore university in front of bangalore university hospital,223F
ladies hostel university campus bangalore university in front of civil engineering department university,501N
ladies hostel university campus bangalore university in front of civil engineering department university,226Z
ladies hostel university campus bangalore university in front of civil engineering department university,234E
ladies hostel university campus bangalore university in front of civil engineering department university,235E
ladies hostel university campus bangalore university in front of civil engineering department university,234
ladies hostel university campus bangalore university in front of civil engineering department university,223D
ladies hostel university campus bangalore university in front of civil engineering department university,223N
ladies hostel university campus bangalore university in front of civil engineering department university,234F
ladies hostel university campus bangalore university in front of civil engineering department university,BC-6
laggere arch kempe gowda layout in front of angala parameshwari temple arch,500
laggere arch kempe gowda layout in front of angala parameshwari temple arch,501
laggere arch kempe gowda layout in front of angala parameshwari temple arch,501A
laggere arch kempe gowda layout in front of angala parameshwari temple arch,501C
laggere arch kempe gowda layout in front of angala parameshwari temple arch,502A
laggere arch kempe gowda layout in front of angala parameshwari temple arch,501F
laggere arch kempe gowda layout in front of angala parameshwari temple arch,502D
laggere arch kempe gowda layout in front of angala parameshwari temple arch,80G
laggere arch laggere near sai baba temple,410E
laggere arch laggere near sai baba temple,410F
laggere arch laggere near sai baba temple,410M
laggere arch laggere near sai baba temple,501N
laggere arch laggere near sai baba temple,401Z
laggere arch laggere near sai baba temple,501B
laggere arch laggere near sai baba temple,401M
laggere arch laggere near sai baba temple,401MA
laggere arch laggere near sai baba temple,401MC
laggere arch laggere near sai baba temple,501L
laggere arch laggere near sai baba temple,502E
laggere arch laggere near sai baba temple,248R
laggere arch laggere near sai baba temple,79H
laggere arch laggere near sai baba temple,267A
laggere arch laggere near sai baba temple,267B
laggere beside bmtc main bus stand,252E
laggere beside bmtc main bus stand,251E
laggere beside bmtc main bus stand,251C
laggere bridge,267C
laggere bridge laggere beside mathru nursing home,410E
laggere bridge laggere beside mathru nursing home,410F
laggere bridge laggere beside mathru nursing home,410M
laggere bridge laggere beside mathru nursing home,MP-501A
laggere bridge laggere beside mathru nursing home,501N
laggere bridge laggere beside mathru nursing home,401Z
laggere bridge laggere beside mathru nursing home,501B
laggere bridge laggere beside mathru nursing home,401MA
laggere bridge laggere beside mathru nursing home,401MC
laggere bridge laggere beside mathru nursing home,501L
laggere bridge laggere beside mathru nursing home,502E
laggere bridge laggere beside mathru nursing home,248R
laggere bridge laggere beside mathru nursing home,84
laggere bridge laggere beside mathru nursing home,267A
laggere bridge laggere beside mathru nursing home,267B
laggere bridge narashima swamy layout  laggere in front of kadamba bar and restaurant,500
laggere bridge narashima swamy layout  laggere in front of kadamba bar and restaurant,501
laggere bridge narashima swamy layout  laggere in front of kadamba bar and restaurant,600
laggere bridge narashima swamy layout  laggere in front of kadamba bar and restaurant,501A
laggere bridge narashima swamy layout  laggere in front of kadamba bar and restaurant,501C
laggere bridge narashima swamy layout  laggere in front of kadamba bar and restaurant,502A
laggere bridge narashima swamy layout  laggere in front of kadamba bar and restaurant,501F
laggere bridge narashima swamy layout  laggere in front of kadamba bar and restaurant,502D
laggere cross peenya 2nd stage  3rd phase opposite of urban eco park  pollution control board,410E
laggere cross peenya 2nd stage  3rd phase opposite of urban eco park  pollution control board,K-5
laggere cross peenya 2nd stage  3rd phase opposite of urban eco park  pollution control board,264
laggere cross peenya 2nd stage  3rd phase opposite of urban eco park  pollution control board,252F
laggere cross peenya 2nd stage  3rd phase opposite of urban eco park  pollution control board,252FA
laggere cross peenya 2nd stage  3rd phase opposite of urban eco park  pollution control board,248R
laggere cross peenya 2nd stage  3rd phase opposite of urban eco park  pollution control board,251C
laggere cross peenya 2nd stage  3rd phase opposite of urban eco park  pollution control board,267B
laggere cross peenya industrial area in front of smitha jyothi industries,252E
laggere cross peenya industrial area in front of smitha jyothi industries,252H
laggere cross peenya industrial area in front of smitha jyothi industries,251E
laggere cross peenya industrial area in front of smitha jyothi industries,256F
laggere cross peenya industrial area in front of sri sai furnitures,264A
laggere laggere beside anandanappa complex,252H
laggere laggere beside anandanappa complex,256F
lakkasandra lakkasandra in front vignana hospital,365M
lakkasandra lakkasandra in front vignana hospital,161D
lakkasandra lakkasandra in front vignana hospital,MBS-21
lakkasandra lakkasandra in front vignana hospital,356J
lakkasandra lakkasandra in front vignana hospital,349J
lakkasandra lakkasandra in front vignana hospital,161B
lakkasandra lakkasandra in front vignana hospital,168A
lakkasandra lakkasandra in front vignana hospital,168E
lakkasandra lakkasandra in front vignana hospital,171H
lakkasandra lakkasandra in front vignana hospital,356B
lakkasandra lakkasandra in front vignana hospital,166
lakkasandra lakkasandra in front vignana hospital,171E
lakkasandra lakkasandra in front vignana hospital,171G
lakkasandra lakkasandra in front vignana hospital,173A
lakkasandra lakkasandra in front vignana hospital,161C
lakkasandra lakkasandra in front vignana hospital,168D
lakkasandra opposite of nimahans convention center,7D
lakkasandra opposite of nimahans convention center,7F
lakkasandra opposite of nimahans convention center,365
